iter	RMSE
364	5.050747803
365	5.049703623
366	5.046848901
367	5.044020133
368	5.04241091
369	5.040863216
370	5.038134122
371	5.036378105
372	5.032100819
373	5.031225957
374	5.0297111
375	5.028707747
376	5.027980777
377	5.027053785
378	5.025933179
379	5.02453766
380	5.0228273
381	5.022051193
382	5.02011031
383	5.017831823
384	5.016640348
385	5.01249111
386	5.011651298
387	5.010351143
388	5.007349124
389	5.004060763
390	5.001671186
391	5.000303873
392	4.998484111
393	4.996678101
394	4.995207403
395	4.994708637
396	4.992989741
397	4.991425402
398	4.990659747
399	4.987935537
400	4.986357824
401	4.985326287
402	4.984417657
403	4.982158431
404	4.979499553
405	4.977709131
406	4.975503165
407	4.973996823
408	4.971983434
409	4.971232562
410	4.970163795
411	4.968073796
412	4.965217743
413	4.964500371
414	4.960677273
415	4.959237663
416	4.957779746
417	4.955858193
418	4.95470149
419	4.953820568
420	4.951831832
421	4.950823955
422	4.94876901
423	4.947739143
424	4.946670061
425	4.944549098
426	4.943280084
427	4.941414331
428	4.940638928
429	4.940037226
430	4.939379316
431	4.938156347
432	4.937503962
433	4.93629153
434	4.933754929
435	4.931727138
436	4.929613816
437	4.928773575
438	4.927041886
439	4.923388486
440	4.920931104
441	4.917362302
442	4.915528224
443	4.914717531
444	4.913528911
445	4.912593147
446	4.911677556
447	4.910084789
448	4.909050535
449	4.907966785
450	4.90654162
451	4.906031906
452	4.904733523
453	4.903984269
454	4.902956477
455	4.901953688
456	4.901577961
457	4.901034149
458	4.899593085
459	4.898974044
460	4.898224379
461	4.896518522
462	4.895012899
463	4.89417595
464	4.893439618
465	4.89156967
466	4.889172324
467	4.887898626
468	4.887215819
469	4.886567602
470	4.884912604
471	4.878476495
472	4.876125228
473	4.873906834
474	4.867691539
475	4.866452195
476	4.864858995
477	4.862779978
478	4.862267754
479	4.860931066
480	4.859694631
481	4.858877291
482	4.857989661
483	4.857069404
484	4.855695228
485	4.855240679
486	4.849195933
487	4.847806639
488	4.84688359
489	4.843814059
490	4.842819458
491	4.840345634
492	4.838471757
493	4.837590946
494	4.836080756
495	4.834693995
496	4.832151202
497	4.828012686
498	4.827800436
499	4.825528868
